ZaporednaStevilkaKD,MesecStoritve,UraStoritve,DanVTednu,PUStoritveKD,Povratnik,OpisKD,PoglavjeKD,GospodarskiKriminal,OrganiziranKriminal,MladoletniskaKriminaliteta,Poskus,KriminalisticnaOznacba1,KriminalisticnaOznacba2,KriminalisticnaOznacba3,UporabljenoSredstvo1,UporabljenoSredstvo2,UporabljenoSredstvo3,UporabljenoSredstvo4,UpravnaEnotaStoritve,OpisKraja,LetoZakljucnegaDokumenta,VrstaZakljucnegaDokumenta,ZaporednaStevilkaOsebeVKD,VrstaOsebe,StarostniRazred,Spol,Drzavljanstvo,Poskodba,VplivAlkohola,VplivMamil,OrganiziranaZdruzba,Skoda,Substanca
029120,2019-04-01 00:00:00,20:00-20:59,TOREK,PU NOVO MESTO,NE,KZ12/122*/2// - LAHKA TELESNA POŠKODBA,KD ZOPER ŽIVLJENJE IN TELO,SPLOŠNA, , ,NE,"ZARADI SPORA, PREPIRA",,,267-PREDMETI IZ KOVINE,,,,KRŠKO,OSTALO,2019,OVADBA,029120001,OVADENI OSUMLJENEC,34-44,MOŠKI,SLOVENSKO,,DA,NE,NE,BREZ,True
032182,2019-05-01 00:00:00,18:00-18:59,NEDELJA,PU CELJE,NE,KZ12/324*/1/2/ - NEVARNA VOŽNJA V CESTNEM PROMETU,KD ZOPER VARNOST JAVNEGA PROMETA,SPLOŠNA, , ,NE,VOŽNJA POD VPLIVOM ALKOHOLA - O,,,199-NI PREDMETA,,,,SLOVENSKE KONJICE,OBMOÈJE PROMETA,2019,OVADBA,032182001,OVADENI OSUMLJENEC,34-44,MOŠKI,SLOVENSKO,,DA,NE,NE,BREZ,True
033203,2019-05-01 00:00:00,08:00-08:59,SREDA,PU LJUBLJANA,NE,KZ12/206*/1// - ROP,KD ZOPER PREMOŽENJE,SPLOŠNA, , ,NE,GROŽNJA Z UPORABO SILE ZOPER ŽIVLJENJE- O,,,393-VOZILA,,,,LJUBLJANA,OBMOÈJE PROMETA,2019,OVADBA,033203001,OVADENI OSUMLJENEC,24-34,MOŠKI,SLOVENSKO,,NE,DA,NE,BREZ,True
033316,2019-05-01 00:00:00,16:00-16:59,SREDA,PU CELJE,NE,"KZ12/300*/1// - NAPAD NA URADNO OSEBO, KO OPRAVLJA NALOGE VARNOSTI",KD ZOPER JAVNI RED IN MIR,SPLOŠNA, , ,NE,Z GROŽNJO O UPORABI OROŽJA - O,,,199-NI PREDMETA,,,,CELJE,URADNI PROSTORI POLICIJE,2019,OVADBA,033316002,OVADENI OSUMLJENEC,34-44,MOŠKI,SLOVENSKO,,DA,DA,NE,BREZ,True
035044,2019-05-01 00:00:00,00:00-00:59,PONEDELJEK,PU CELJE,NE,KZ12/324*/1/1/ - NEVARNA VOŽNJA V CESTNEM PROMETU,KD ZOPER VARNOST JAVNEGA PROMETA,SPLOŠNA, , ,NE,NEPRILAGODITEV HITROSTI - O,VOŽNJA POD VPLIVOM ALKOHOLA - O,,473-OSEBNO VOZILO,,,,CELJE,OBMOÈJE PROMETA,2019,OVADBA,035044001,OVADENI OSUMLJENEC,34-44,ŽENSKI,SLOVENSKO,,DA,NN,NE,BREZ,True
035688,2019-05-01 00:00:00,20:00-20:59,ÈETRTEK,PU CELJE,NE,KZ12/191*/1// - NASILJE V DRUŽINI,"KD ZOPER ZAKONSKO ZVEZO, DRUŽINO IN OTROKE",SPLOŠNA, , ,NE,GROŽNJA Z NAPADOM NA ŽIVLJENJE/TELO - O,,,199-NI PREDMETA,,,,ŠENTJUR PRI CELJU,"NASTANITVENI PROSTOR Z NEPOSREDNO OKOLICO (DVORIŠÈE, VRT IPD.)",2019,OVADBA,035688002,OVADENI OSUMLJENEC,NAD 64,MOŠKI,SLOVENSKO,,DA,NN,NE,BREZ,True
036095,2019-05-01 00:00:00,04:00-04:59,PETEK,PU CELJE,NE,KZ12/220*/1// - POŠKODOVANJE TUJE STVARI,KD ZOPER PREMOŽENJE,SPLOŠNA, , ,NE,POŠKODOVANJE STVARI - O,PREGON NA PREDLOG - O,,356-TELEKOMUNIKACIJSKA SREDSTVA IN NAPRAVE,271-PREDMETI IZ STEKLA,,,RAVNE NA KOROŠKEM,"NASTANITVENI PROSTOR Z NEPOSREDNO OKOLICO (DVORIŠÈE, VRT IPD.)",2019,OVADBA,036095002,OSTALO,18-24,ŽENSKI,SLOVENSKO,,NN,DA,NE,BREZ,True
037109,2019-06-01 00:00:00,07:00-07:59,NEDELJA,PU CELJE,NE,"KZ12/186*/1// - NEUPRAVIÈENA PROIZVODNJA IN PROMET S PREPOVEDANIMI DROGAMI, NEDOVOLJENIMI SNOVMI V ŠPORTU IN PREDHOD",KD ZOPER ÈLOVEKOVO ZDRAVJE,SPLOŠNA, , ,NE,HRAMBA - O,,,437-KONOPLJA RASTLINA (MARIHUANA),,,,LAŠKO,OBMOÈJE PROMETA,2019,OVADBA,037109001,OVADENI OSUMLJENEC,34-44,MOŠKI,SLOVENSKO,,NE,DA,NE,BREZ,True
037182,2019-06-01 00:00:00,11:00-11:59,NEDELJA,PU MARIBOR,NE,KZ12/191*/1// - NASILJE V DRUŽINI,"KD ZOPER ZAKONSKO ZVEZO, DRUŽINO IN OTROKE",SPLOŠNA, , ,NE,GRDO RAVNANJE - O,SPRAVLJANJE V PODREJENI POLOŽAJ - O,PRETEPANJE - O,199-NI PREDMETA,,,,MARIBOR,"NASTANITVENI PROSTOR Z NEPOSREDNO OKOLICO (DVORIŠÈE, VRT IPD.)",2019,OVADBA,037182001,OVADENI OSUMLJENEC,24-34,MOŠKI,SLOVENSKO,,NE,DA,NE,BREZ,True
037360,2019-06-01 00:00:00,17:00-17:59,PONEDELJEK,PU MARIBOR,NE,KZ12/191*/1// - NASILJE V DRUŽINI,"KD ZOPER ZAKONSKO ZVEZO, DRUŽINO IN OTROKE",SPLOŠNA, , ,NE,GROŽNJA Z NAPADOM NA ŽIVLJENJE/TELO - O,SPRAVLJANJE V PODREJENI POLOŽAJ - O,,199-NI PREDMETA,,,,MARIBOR,"NASTANITVENI PROSTOR Z NEPOSREDNO OKOLICO (DVORIŠÈE, VRT IPD.)",2019,OVADBA,037360003,OVADENI OSUMLJENEC,44-54,MOŠKI,SLOVENSKO,,DA,NE,NE,BREZ,True
